name,stars,review,type,lng,lat
Sormoni,5.0,372,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.723927,44.739460
Los Crayfish Hermanos,5.0,285,"$$ - $$$, Seafood, Bar, International",41.691204,44.804073
Divino,5.0,263,"$, Wine Bar, Bar, Vegetarian Friendly",41.689281,44.809326
Dadi Wine Bar and Shop,5.0,222,"$, Wine Bar, Bar, European",41.692642,44.802200
8000 Vintages,5.0,220,"$$ - $$$, Bar, Wine Bar, Vegetarian Friendly",41.721359,44.765438
Wine Buffet,5.0,198,"$$ - $$$, Wine Bar, Georgian, Vegetarian Friendly",41.689728,44.808159
RadioCafe,5.0,130,"$$ - $$$, Cafe, European, Georgian",41.699772,44.802052
4 Vkuso,5.0,92,"$, Italian, European, Soups",41.708439,44.793987
Sirajkhana Wine Restaurant,5.0,84,"$$ - $$$, Wine Bar, Georgian, Vegetarian Friendly",41.699528,44.803623
Marto Khinkali,5.0,76,"$$ - $$$, Caucasian, Georgian, Vegetarian Friendly",41.703293,44.803783
Crafted Bar,5.0,68,"$, Brew Pub, Pub",41.704620,44.801235
Cafe Ornament,5.0,67,"$$ - $$$, European, Grill, Soups",41.690037,44.802475
Brasserie Buvette,5.0,67,"$$$$, European, Central European, Vegetarian Friendly",41.697388,44.800175
Wine Bar Sancho,5.0,63,"$$ - $$$, Wine Bar, Vegetarian Friendly",41.706955,44.788788
Beernest,5.0,60,"$$ - $$$, European, Pub, Gastropub",41.687222,44.833992
Chacha Time,5.0,58,"$, European, Eastern European, Georgian",41.691513,44.798447
Vinotel Restaurant,5.0,57,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.698246,44.809612
Aristaeus Ethno Wine Bar,5.0,51,$$ - $$$,41.690517,44.807907
GIN Garden Bar & Kitchen,5.0,49,"$$ - $$$, Bar, International, European",41.708660,44.777634
Kikliko,5.0,47,"$$ - $$$, European, Cafe, Georgian",41.705853,44.769646
SMA Craft BEER Bar,5.0,45,"$, American, Pub, Gastropub",41.689453,44.798546
Bar 100 Roentgen,5.0,45,"$$ - $$$, European, Georgian, Bar",41.706615,44.789211
Turfa,5.0,41,"$$ - $$$, Georgian",41.703339,44.803951
Utskho,5.0,39,"$, Cafe, International, Fusion",41.700264,44.794239
Republic Restaurant,5.0,37,"$$ - $$$, Georgian",41.703533,44.791409
Pin Pon Cafe Bar,5.0,34,"$$ - $$$, Georgian, Bar, European",41.708656,44.774200
Soda Bar,5.0,33,"$$ - $$$, European, Georgian, Italian",41.690964,44.802181
Dinner in the Sky Georgia,5.0,33,"$$$$, European, Fusion, Georgian",41.665958,44.719593
Cafe Tapa,5.0,30,"$, Georgian, Italian",41.704090,44.800339
Otakhi Cafe,5.0,30,"$, Street Food, Cafe",41.697025,44.796413
Wine Store&Bar,5.0,29,$$ - $$$,41.703259,44.803905
Qartuli Time,5.0,28,"$, Georgian, Vegetarian Friendly, Vegan Options",43.984093,44.811386
Chef Saradjeff,5.0,28,"$, Cafe, Wine Bar, Georgian",41.688435,44.815517
Near Opera,5.0,26,"$$ - $$$, Georgian",41.702168,44.796490
Varazi Beer Garden,5.0,26,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.711441,44.780262
Cafe Mziuri,5.0,26,"$$ - $$$, Cafe, European, Eastern European",41.710373,44.768829
The Great Georgian Restaurant,5.0,25,"$$ - $$$, Indian",41.694984,44.802505
Chemi Qartuli Samzareulo,5.0,24,"$$ - $$$, Caucasian, Georgian, Middle Eastern",41.693909,44.797268
Kantora BAR,5.0,23,"$, Mexican, Georgian, Bar",41.691990,44.799393
Piccolo Cafe,5.0,22,"Italian, International, Cafe, Japanese",41.707996,44.782463
Dogtown,5.0,22,"$, International",41.699722,44.795315
Cafe Fardagi,5.0,22,"$, Georgian, Eastern European",41.690399,44.799950
Ensemble Chinese Restaurant,5.0,20,"$$ - $$$, Chinese, Asian, Vegetarian Friendly",41.715477,44.874207
Restaurant Welcome to Zaza Mamaladze,5.0,20,"$$ - $$$, Georgian",41.709454,44.794598
Beirut Cafe Lounge,5.0,19,"$$ - $$$, Lebanese, Bar, Cafe",41.726151,44.767349
Leuvellois,5.0,19,"$$ - $$$, French, Georgian",41.706028,44.788994
